Property name,Property price,Property type,Property area,Property locality/Type (if locality not provided),Property link,Property City
Sheshadri Akshara Green City Township,₹ 60 - 82.5 L,Land,"1,200 - 1,650 sq.ft.",Land,https://www.99acres.com/sheshadri-akshara-green-city-township-budigere-cross-bangalore-east-npxid-r409122,Bangalore
Provident Ecopolitan,₹ 41.1 - 94.08 L,1 BHK,405.91 - 485.34 sq.ft.,1 BHK,https://www.99acres.com/provident-ecopolitan-bagalur-bangalore-north-npxid-r413742,Bangalore
Birla Trimaya,₹ 48.04 L - 2.07 Cr,1 BHK,472.97 - 489 sq.ft.,1 BHK,https://www.99acres.com/birla-trimaya-devanahalli-bangalore-north-npxid-r413380,Bangalore
Blue Bell BSNL Urban Greens,₹ 11.7 - 39 L,Land,"1,200 - 4,000 sq.ft.",Land,https://www.99acres.com/blue-bell-bsnl-urban-greens-devanahalli-bangalore-north-npxid-r403705,Bangalore
Sizzle Sunrise,₹ 34.4 L - 1.08 Cr,3 BHK,"1,200 sq.ft.",3 BHK,https://www.99acres.com/sizzle-sunrise-old-madras-road-bangalore-east-npxid-r395250,Bangalore
Sizzle Midtown,₹ 1.21 - 2.02 Cr,3 BHK,"1,825 - 1,902 sq.ft.",3 BHK,https://www.99acres.com/sizzle-midtown-cv-raman-nagar-bangalore-east-npxid-r398857,Bangalore
Sizzle Bhoo Siri,₹ 56.5 - 67.8 L,Land,"1,000 - 1,200 sq.ft.",Land,https://www.99acres.com/sizzle-bhoo-siri-budigere-cross-bangalore-east-npxid-r406110,Bangalore
Brigade Orchards Apartments,₹ 57.6 - 97.95 L,1 BHK,720 sq.ft.,1 BHK,https://www.99acres.com/brigade-orchards-apartments-devanahalli-bangalore-north-npxid-r77857,Bangalore
Terrafem Lavender Meadows,₹ 21.53 - 64.58 L,Land,"600 - 1,800 sq.ft.",Land,https://www.99acres.com/terrafem-lavender-meadows-varthur-bangalore-east-npxid-r411452,Bangalore
Brigade Atmosphere,₹ 1.47 - 1.98 Cr,3 BHK,"1,814 - 1,830 sq.ft.",3 BHK,https://www.99acres.com/brigade-atmosphere-devanahalli-bangalore-north-npxid-r250319,Bangalore
Sattva Serene Life,₹ 2.49 Cr,Land,"3,875 sq.ft.",Land,https://www.99acres.com/sattva-serene-life-shettigere-bangalore-north-npxid-r321459,Bangalore
Sattva Bliss,₹ 41.22 - 76.43 L,1 BHK,355 sq.ft.,1 BHK,https://www.99acres.com/sattva-bliss-budigere-cross-bangalore-east-npxid-r403086,Bangalore
Land Capital Calista,₹ 59.73 - 71.44 L,2 BHK,"1,070 sq.ft.",2 BHK,https://www.99acres.com/land-capital-calista-yelahanka-bangalore-north-npxid-r386997,Bangalore
Brigade Horizon,₹ 45 - 95 L,1 BHK,413.87 sq.ft.,1 BHK,https://www.99acres.com/brigade-horizon-mysore-road-bangalore-west-npxid-r397833,Bangalore
Sattva Anugraha,₹ 76.16 L - 1.36 Cr,1 BHK,490 sq.ft.,1 BHK,https://www.99acres.com/sattva-anugraha-vijayanagar-bangalore-west-npxid-r263209,Bangalore
Assetz 63 Degree East,₹ 81.75 L - 2.03 Cr,1 BHK,474 - 691 sq.ft.,1 BHK,https://www.99acres.com/assetz-63-degree-east-sarjapur-road-bangalore-east-npxid-r260370,Bangalore
Concorde Equity,₹ 20.92 - 41.83 L,Land,"1,163 - 2,325 sq.ft.",Land,https://www.99acres.com/concorde-equity-malur-bangalore-east-npxid-r402494,Bangalore
Trifecta Verde En Resplandor,₹ 1.61 - 1.62 Cr,4 BHK,"3,045 - 3,053 sq.ft.",4 BHK,https://www.99acres.com/trifecta-verde-en-resplandor-budigere-cross-bangalore-east-npxid-r376142,Bangalore
Keya Spring,₹ 1.23 - 2.46 Cr,2 BHK,"1,325 sq.ft.",2 BHK,https://www.99acres.com/keya-spring-bannerghatta-road-bangalore-south-npxid-r401648,Bangalore
Royal Garden,₹ 69.6 L - 1.16 Cr,Land,"1,200 - 2,000 sq.ft.",Land,https://www.99acres.com/royal-garden-sarjapur-road-bangalore-east-npxid-r413801,Bangalore
Sattva Exotic,₹ 1 - 1.68 Cr,2 BHK,"1,235 - 1,261 sq.ft.",2 BHK,https://www.99acres.com/sattva-exotic-yelahanka-bangalore-north-npxid-r331129,Bangalore
Concorde Hill Crest,₹ 30.8 - 88 L,Land,"1,384 - 4,000 sq.ft.",Land,https://www.99acres.com/concorde-hill-crest-chikkaballapur-bangalore-north-npxid-r306817,Bangalore
Subbamma Layout,₹ 56.88 L - 1.32 Cr,Land,"875 - 2,037.35 sq.ft.",Land,https://www.99acres.com/subbamma-layout-whitefield-bangalore-east-npxid-r414217,Bangalore
Prestige Lavender Fields,₹ 65 L - 2.87 Cr,1 BHK,669 - 784 sq.ft.,1 BHK,https://www.99acres.com/prestige-lavender-fields-varthur-bangalore-east-npxid-r405318,Bangalore
Sobha Town Park Manhattan Towers,₹ 74.02 L - 1.9 Cr,2 BHK,511 - 522 sq.ft.,2 BHK,https://www.99acres.com/sobha-town-park-manhattan-towers-hosur-road-bangalore-south-npxid-r377702,Bangalore
Geown Oasis Phase 3,₹ 1.49 - 1.93 Cr,3 BHK,"1,944 - 2,070 sq.ft.",3 BHK,https://www.99acres.com/geown-oasis-phase-3-sarjapur-bangalore-east-npxid-r401926,Bangalore
Salarpuria Sattva Gold Summit,₹ 2.43 Cr,3 BHK,"2,365 sq.ft.",3 BHK,https://www.99acres.com/salarpuria-sattva-gold-summit-hennur-road-bangalore-north-npxid-r1844,Bangalore
Sattva Opus,₹ 96.77 L - 1.22 Cr,2 BHK,"1,239 sq.ft.",2 BHK,https://www.99acres.com/sattva-opus-tumkur-road-bangalore-west-npxid-r272201,Bangalore
Sattva Ashraya,₹ 39.44 - 54 L,1 BHK,339 sq.ft.,1 BHK,https://www.99acres.com/sattva-ashraya-bidadi-bangalore-west-npxid-r379399,Bangalore
Salarpuria Sattva Casa Crescent,₹ 7.68 - 11.66 Cr,4 BHK,"3,633 - 5,178 sq.ft.",4 BHK,https://www.99acres.com/salarpuria-sattva-casa-crescent-benson-town-bangalore-central-npxid-r271431,Bangalore
Sattva Magnificia,₹ 5.51 Cr,3 BHK,"2,186 sq.ft.",3 BHK,https://www.99acres.com/sattva-magnificia-old-madras-road-bangalore-east-npxid-r33782,Bangalore
Sobha Oakshire,₹ 5.1 - 5.4 Cr,4 BHK,"3,421 - 3,467 sq.ft.",4 BHK,https://www.99acres.com/sobha-oakshire-ivc-road-bangalore-north-npxid-r407738,Bangalore
Brigade Bricklane,₹ 49 - 76.36 L,1 BHK,662 - 687 sq.ft.,1 BHK,https://www.99acres.com/brigade-bricklane-jakkur-bangalore-north-npxid-r312483,Bangalore
Keya Around The Life,₹ 1.13 - 2.08 Cr,2 BHK,"1,292 - 1,315 sq.ft.",2 BHK,https://www.99acres.com/keya-around-the-life-whitefield-bangalore-east-npxid-r396799,Bangalore
Sri Balaji Serene,₹ 59 L - 1.01 Cr,2 BHK,"843 - 1,078 sq.ft.",2 BHK,https://www.99acres.com/sri-balaji-serene-yelahanka-bangalore-north-npxid-r413980,Bangalore
Renaissance Reserva,₹ 1.05 - 1.37 Cr,2 BHK,"1,230 sq.ft.",2 BHK,https://www.99acres.com/renaissance-reserva-yeshwanthpur-bangalore-north-npxid-r274711,Bangalore
Shreevari Grandeur,₹ 77 L - 1.09 Cr,2 BHK,"1,100 - 1,161 sq.ft.",2 BHK,https://www.99acres.com/shreevari-grandeur-kasturi-nagar-bangalore-east-npxid-r410294,Bangalore
Rohan Antara,₹ 76.7 L - 1.56 Cr,2 BHK,710 - 839 sq.ft.,2 BHK,https://www.99acres.com/rohan-antara-gunjur-bangalore-east-npxid-r408596,Bangalore
Sobha Royal Crest,₹ 2 - 3.59 Cr,3 BHK,"1,238.3 - 1,362.2 sq.ft.",3 BHK,https://www.99acres.com/sobha-royal-crest-banashankari-bangalore-south-npxid-r392726,Bangalore
Peace Paramount,₹ 55 - 58.85 L,2 BHK,"1,100 - 1,177 sq.ft.",2 BHK,https://www.99acres.com/peace-paramount-yelahanka-bangalore-north-npxid-r311999,Bangalore
Peace Sapphire,₹ 1.41 - 1.42 Cr,2 BHK,"1,110 sq.ft.",2 BHK,https://www.99acres.com/peace-sapphire-vijayanagar-bangalore-west-npxid-r336789,Bangalore
Bhadras Grand,₹ 47.16 - 63.36 L,2 BHK,"1,048 - 1,098 sq.ft.",2 BHK,https://www.99acres.com/bhadras-grand-battarahalli-bangalore-east-npxid-r413594,Bangalore
Sobha Galera,₹ 4.73 - 6.82 Cr,4 BHK,"3,009 - 4,340 sq.ft.",4 BHK,https://www.99acres.com/sobha-galera-kr-puram-bangalore-east-npxid-r402798,Bangalore
DSR Parkway,₹ 1.01 - 1.5 Cr,1 BHK,659 - 667 sq.ft.,1 BHK,https://www.99acres.com/dsr-parkway-sarjapur-road-bangalore-east-npxid-r338117,Bangalore
Brigade Cornerstone Utopia,₹ 54 - 85 L,1 BHK,749 - 799 sq.ft.,1 BHK,https://www.99acres.com/brigade-cornerstone-utopia-whitefield-bangalore-east-npxid-r319371,Bangalore
Trishul Happy Homes Vivasan,₹ 47 L,2 BHK,"1,143 sq.ft.",2 BHK,https://www.99acres.com/trishul-happy-homes-vivasan-electronics-city-phase-1-bangalore-south-npxid-r414290,Bangalore
Godrej Ananda,₹ 28.33 L - 1.19 Cr,2 BHK,530 - 973 sq.ft.,2 BHK,https://www.99acres.com/godrej-ananda-bagalur-bangalore-north-npxid-r376451,Bangalore
